"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA3371_at",2.1350163472451,4.85458024682954,11.321383023971,1.69548750196232e-08,4.52417371286331e-07,9.80310273617654
"PA1030_at",2.59583945140688,4.23486070625376,11.2876470750029,1.76186504480355e-08,4.67488123966694e-07,9.76340913817645
"PA5183_at",1.81820541440644,4.87014195846126,11.1827640326918,1.98647700503805e-08,5.24141390770655e-07,9.63935792533103
"PA3270_at",1.72056036986172,5.30768453269058,11.1321299322768,2.10563373925514e-08,5.52142615967612e-07,9.5791174947194
"PA1360_at",1.98009550213144,3.01418878806879,11.1278772799737,2.11598165340118e-08,5.52142615967612e-07,9.57404751136833
"PA5568_at",-2.77557022241297,6.27978737616003,-11.1154865687304,2.14644116762887e-08,5.57013276632482e-07,9.55926607443296
"PA1057_at",-1.80800992677467,4.09373317757134,-11.0767348573882,2.24474839461074e-08,5.79341347964291e-07,9.51294770571745
"PA5184_at",1.70927531541903,4.76127385423691,11.0463345190322,2.32521659681222e-08,5.95542540148229e-07,9.47651593965143
"PA2642_nuoG_at",-2.01891172944382,5.42186197835328,-11.04354910881,2.33274126460771e-08,5.95542540148229e-07,9.47317369494397
"PA5117_typA_at",-2.34626398165939,5.14103960947293,-11.0298255644277,2.37019461253688e-08,6.01851029839337e-07,9.45669632623593
"PA0469_at",2.09648736376734,4.60853325830047,11.0043742989603,2.44135663072421e-08,6.12436721260761e-07,9.4260923456399
"PA5107_blc_at",2.08636374414674,4.80212992454636,10.9987678010318,2.45733558232528e-08,6.12436721260761e-07,9.41934281888154
"PA1053_at",2.11077970801939,7.28604644739965,10.9982784555935,2.45873551912747e-08,6.12436721260761e-07,9.41875357108693
"PA3712_at",1.84101455992716,7.06276296694791,10.9876808111116,2.4892625182075e-08,6.12436721260761e-07,9.40598697571153
"PA0250_at",2.08076808153417,4.67232243207317,10.9875604394895,2.48961155899837e-08,6.12436721260761e-07,9.40584190922601
"PA5261_algR_at",1.82568078830572,5.80583729317772,10.9875349106791,2.48968559140517e-08,6.12436721260761e-07,9.40581114287664
"PA3820_secF_at",-2.23808758966614,4.74609627079217,-10.9796653684086,2.51261881984087e-08,6.14875579591111e-07,9.39632421804969
"PA0376_rpoH_at",1.68964352177445,7.74930558358766,10.9653301131286,2.55497321099819e-08,6.21133160766422e-07,9.3790280925768
"PA3533_at",2.03375630253083,6.59250599407641,10.960298348664,2.57001923040091e-08,6.21133160766422e-07,9.37295256162146
"PA4507_at",1.73126633004239,3.16085027743738,10.9577605616806,2.57764343659155e-08,6.21133160766422e-07,9.36988746320818
"PA5060_phaF_at",2.11229945432475,7.07900006489841,10.942860910464,2.6228936333053e-08,6.28828762949285e-07,9.35187993215345
"PA3179_at",1.93411350348688,6.23224561403045,10.9071826082072,2.73471497143202e-08,6.52326202528962e-07,9.30867626632501
"PA0665_at",1.70586875143737,6.47928011537856,10.8816782868202,2.81774881699344e-08,6.68755158927639e-07,9.27772024495924
"PA3988_at",-2.29769390798096,6.32369085244954,-10.8519824696629,2.9178172290354e-08,6.8904253863671e-07,9.2416005947167
"PA5554_atpD_at",-2.99601949413218,6.36983700909934,-10.8423026527612,2.9512467533474e-08,6.93469572938297e-07,9.22980907183164
"PA4761_dnaK_at",-3.45044905336649,4.90538685722006,-10.8282387270978,3.00054405238931e-08,7.00807950359463e-07,9.21266143311564
"PA2604_at",2.0089120275459,6.88969831135564,10.8249623823917,3.01215358718973e-08,7.00807950359463e-07,9.20866404881834
"PA5437_at",2.032302873139,5.25009851383957,10.7866439232306,3.15153265478267e-08,7.29641604340125e-07,9.16183803150041
"PA3308_hepA_at",-1.79230892630859,4.42441629576441,-10.7531063841376,3.27914921680394e-08,7.55483987851951e-07,9.12074121317614
"PA1679_at",1.93331741490163,5.58983845732558,10.735846819599,3.34695471174546e-08,7.67362480756011e-07,9.0995500622262
"PA1579_at",2.21383919336707,6.63657265239626,10.729089549985,3.37390553349158e-08,7.69804629694722e-07,9.09124587623893
"PA4728_folK_at",-1.68029197954785,5.21445611718487,-10.7024819334624,3.48229033617934e-08,7.90714291239185e-07,9.05850506009354
"PA3013_foaB_at",-2.64569796029285,6.60601653939888,-10.6853693182434,3.55394783236643e-08,8.0312419197448e-07,9.03741241436219
"PA1337_ansB_at",-2.87516075292309,4.99865221005093,-10.6786218975847,3.5826311888898e-08,8.05750814529835e-07,9.02908803744145
"PA4611_at",2.04557266362993,6.37148863275768,10.6440218408652,3.73363097604789e-08,8.35731710894512e-07,8.98633338611632
"PA4407_ftsZ_at",-2.45167055576386,7.5288001246509,-10.6251838057772,3.81867268006441e-08,8.50735427733218e-07,8.96300752192465
