"Gene","Locus_Tag","logFC","adj.P.Val"
"PA5191","PA5191",1.37663137771132,0.000401424359898235
"rplI","PA4932",1.5095019859091,0.000427807670860614
"PA0960","PA0960",1.00981789623908,0.000429404796949609
"PA3606","PA3606",1.09845530002979,0.000454042426852041
"PA3945","PA3945",1.07719309866763,0.000460787639520111
"PA4377","PA4377",1.03805120256121,0.000469981210930514
"PA2765","PA2765",1.05674495419968,0.000483204114697631
"psrA","PA3006",1.45040775348367,0.000489526222577075
"PA3689","PA3689",1.08914857348394,0.000495715348097564
"PA0124","PA0124",1.460251573998,0.000507879437462377
"PA1164","PA1164",1.27596930551514,0.000509908534546609
"leuC","PA3121",1.38636348108834,0.000525989076229176
"PA5073","PA5073",1.10030430357383,0.000530187288623355
"pagL","PA4661",1.09683570985645,0.000541067000271336
"fleS","PA1098",1.07312637644443,0.000569081153899072
"PA1359","PA1359",1.24140282628521,0.000593734283096667
"lasI","PA1432",1.08641373626869,0.000608354869923165
"PA0979","PA0979",1.16182660239431,0.000681132972841617
"PA1048","PA1048",1.17462150589024,0.000683348130042067
"liuR","PA2016",1.03514186858626,0.000699554402730987
"pcnA","PA4918",1.16907786969562,0.000712693018014372
"PA1602","PA1602",1.12840242307273,0.000739545944213698
"PA2770","PA2770",1.19047891550851,0.000755358579463629
"ftnA","PA4235",1.24676525931474,0.000775197736295156
"PA4782","PA4782",1.00654154385991,0.000791481804456738
"PA2805","PA2805",1.04213914570001,0.000829843725783418
"qslA","PA1244",1.0955824916824,0.000836822017156514
"bkdR","PA2246",1.03275006175487,0.000888749074562061
"PA3338","PA3338",1.02248983302704,0.000888749074562061
"PA4629","PA4629",1.09024911632338,0.000905612937507887
"PA2943","PA2943",1.0288359357319,0.000925723357019902
"PA4340","PA4340",1.24031777717978,0.000971217042069188
"ung","PA0750",1.02388617617496,0.00101440082749527
"PA1672","PA1672",1.07938032085085,0.00105044449225549
"PA5408","PA5408",1.01629667378635,0.00105245212931948
"PA3740","PA3740",1.08760669629779,0.00111535919246503
"PA5306","PA5306",1.31229023381372,0.00112015958263694
"PA5330","PA5330",1.11668627852895,0.00120200845404801
"PA3779","PA3779",1.13626326970396,0.00127859934897756
"ladS","PA3974",1.03118903905453,0.00132378717354279
"gntR","PA2320",1.06159969216427,0.0013645060969064
"PA4877","PA4877",1.05978282282223,0.00161822228994927
"PA3691","PA3691",1.39554876564068,0.00172302352035878
"rhlG","PA3387",1.09040145633806,0.0017448938094646
"PA4933","PA4933",1.37381736683198,0.00174702073771947
"mucE","PA4033",1.25218394831679,0.00185459321725047
"PA4511","PA4511",1.07517504145288,0.001985765682243
"PA0269","PA0269",1.0414853449672,0.00209687109089035
"PA2971","PA2971",1.02974311149421,0.00228793196408408
"PA3580","PA3580",1.15826426087837,0.00231959323605284
"folE2","PA1674",1.04809213769053,0.00298178075986579
"PA1323","PA1323",1.68411303448367,0.0031493363274682
"tpm","PA2832",1.03504395385638,0.00316181729738997
"PA5494","PA5494",1.24208138502217,0.00324675696858266
"PA3865","PA3865",1.04940200799666,0.00329489862493733
"PA3022","PA3022",1.01196232861382,0.00344467242590539
"PA0012","PA0012",1.07122161502418,0.00348887431916302
"PA1676","PA1676",1.28231506460472,0.00349260799054352
"PA3952","PA3952",1.10719052270534,0.00357323801960762
"crfX","PA1774",1.13891407898437,0.00404968366666538
"PA3041","PA3041",1.19742225625755,0.00477898463370336
"PA4767","PA4767",1.03728733329202,0.00541096734917565
"PA5506","PA5506",1.10596279563872,0.00782531721072803
"PA5461","PA5461",1.12173907377313,0.0110640473197051
"PA2581","PA2581",1.01825783169449,0.0112121925378086
