"","GSM252496","GSM252501","GSM252505","GSM252506","GSM252507","GSM252508","GSM252559","GSM252560","GSM252561","GSM252562"
"PA5377_at",3.3692401132452,3.51659832465599,3.64349396846747,3.64090455688512,3.62364402724755,3.68348932849994,3.7688111385567,3.55017265285128,3.83240553446976,3.75889365673403
"PA5378_at",2.72835069638797,2.05131770231869,2.47007245743664,2.80066842424696,2.90682448932678,2.74712509043134,4.29868968980376,4.43308332498535,4.85086289574916,4.4848570834968
"PA5379_sdaB_at",4.28986072301187,4.1965209017368,4.24700790908182,4.22396677101229,4.08291531308765,4.52944075218119,3.40965247579038,3.54781965867638,3.39131630879804,3.65587637030649
"PA5380_at",2.88828138066818,2.76333989124779,2.69038894931646,3.14678701872081,3.19697944045393,3.49100732449345,4.38061842367205,4.60453435383741,4.57691324791657,4.62960369665088
"PA5381_at",3.03418545299468,3.14816083187559,2.88298381322798,3.16919384603734,4.18912253572012,3.87036860890147,3.64565593845023,3.35493623605206,3.49060321290262,3.44556498155358
"PA5382_at",2.71167858597199,2.70697777599587,2.73152697395207,3.3365800134667,3.65567972010097,3.49093313390217,2.88444337607017,2.55292615374527,2.37683331833365,2.61358279901544
"PA5384_at",4.47175251695203,4.44424365163585,4.75363025195938,4.79170030685746,4.41797435819493,5.04328486446297,3.07274391025831,3.19328985547003,3.63303052584679,3.32551009631575
"PA5386_at",3.56041424908916,3.69229552694757,2.86919933997036,2.91660890295941,3.54437880526741,3.33463173432511,2.45241332155294,2.12767736799955,2.14901596561867,2.24304825079375
"PA5388_at",2.49870024272661,2.67069540492932,2.49631144751017,2.83687257064539,3.11947459985514,3.26872569335112,2.43646981728018,2.18008260574046,2.38438158267575,2.04332282836014
"PA5389_at",2.91809431052209,3.39408237059537,3.68062860890204,3.80829144740492,3.67786349994492,3.63847520559889,3.74337249863626,3.59396763041651,3.91773403096512,3.8849447429218
"PA5393_at",3.64265815474768,3.37437461987241,3.21772277824349,3.65710821602378,3.37886441549606,3.11541813700661,2.56042916915832,2.5288651327361,2.81920820962627,2.4438992018859
"PA5394_cls_at",3.77213555110461,3.97811010998174,3.67190835519346,3.79102337980863,3.71978682289549,4.88533542295915,3.77090633278875,3.80725898342728,3.76636875890213,3.88042958890853
"PA5396_at",4.0673559807395,4.2451646897773,3.92000083014168,4.45213710196368,4.33655243622558,4.34435779377632,3.43473908610856,3.64085127597586,3.68543090743964,3.52954025791548
"PA5398_at",5.01851077398699,4.53249446021103,4.88351280073179,4.77333021462594,4.62808306958228,5.33166907001671,3.52392312148811,3.39189459209324,3.42733353645176,3.46271733872711
"PA5399_at",3.71292047881782,3.68623435669637,3.51510135790482,3.53418235985521,3.35280795863863,4.1249920626008,3.64287662952384,3.303424374151,3.4663826300364,3.53418235985521
"PA5401_at",3.12010633046051,2.94850494947645,3.10379849085421,3.14659613720885,3.17804586408914,3.74227315189074,2.51952695628438,2.29930622984226,2.99392570611554,2.68025736887233
"PA5402_at",3.07386207336434,3.08638636088264,3.13006855553566,3.40937272601068,3.8236664574197,3.77078905939306,2.78668517198631,2.71835293313274,2.61746653201857,2.57910613161363
"PA5404_at",3.3884835156271,3.4379092676782,3.95699490122401,3.35605355755438,2.95911311099034,2.98145229522301,2.25089204585639,1.96272920347263,2.33968329202901,2.05346057152505
"PA5405_i_at",3.96043362897464,3.83413990677655,3.69835364136013,3.71971097811947,3.64847549627416,4.33451046855634,3.42787475683509,3.44722278185939,3.50915063662326,3.6266260353454
"PA5406_at",4.74144470733182,4.40062983179184,4.33947944761986,5.49933375817404,5.3491244119887,5.26052016989482,3.17894370257697,2.91048037788115,2.8529817207922,2.85749105190755
"PA5407_at",4.19654832346018,3.67012700142673,3.73962303712873,4.66551207366712,4.71233511821808,4.0656988949699,3.06907727926402,3.16943503197326,3.42608883084655,3.21700950173768
"PA5408_at",4.09326637740379,4.38763397237925,4.65962400884649,5.0960248432434,5.5315586808211,5.56183085592406,6.84114745549714,6.23138370796063,6.03260244375732,5.91018512414026
"PA5409_at",2.1072214051248,2.20931288591232,2.41736074986123,3.11836631364908,2.86878405461164,3.00953154690884,4.24283427352907,3.84205278312428,3.75464207452818,3.55423798533623
"PA5412_at",3.31489736742797,2.77829807668779,2.73290055076837,3.4061185787945,3.70068795347069,3.89995074211722,2.52210633858756,2.06653873841843,2.37505887465504,2.23367867334697
"PA5414_at",6.07150023766897,6.14764304686303,5.98611427327581,6.35620558348679,5.68044370361131,5.82943988571102,6.0645860284605,5.97794259514917,5.77024125239233,5.91559190611704
